run,wall_time_seconds,peak_memory_MB
1,281.130,4079.87
2,249.570,4079.48
3,230.930,4079.92
4,232.490,4079.68
5,230.470,4079.70
6,229.220,4079.86
7,226.730,4079.84
8,232.510,4079.86
9,227.790,4079.81
10,244.910,4079.85
