partition_identifier n m mtx_load_time brickgraph_inference_time find_recombinations_time geno_nnz brickgraph_nnz nnz_ratio
0_chr1-15916-1093532 400022 87482 4.957 455.327 142.19 55168461.0 1610836 34.248
1_chr1-1093533-2171150 400022 307802 9.487 2328.307 558.361 215300925.0 4819653 44.671
2_chr1-2171151-3248768 400022 280432 10.946 3476.379 648.201 248115584.0 4861086 51.041
3_chr1-3248769-4326386 400022 288269 12.663 3828.636 898.649 341471780.0 5897697 57.899
4_chr1-4326387-5404003 400022 287232 14.98 6586.417 885.988 399729872.0 4761501 83.95
5_chr1-5404004-6481621 400022 278590 9.984 3216.795 624.209 244840193.0 4500669 54.401
6_chr1-6481622-7559239 400022 265275 11.274 3521.87 680.187 273961482.0 4500357 60.875
7_chr1-7559240-8636857 400022 262654 10.222 3576.844 593.016 248254090.0 3937830 63.043
8_chr1-8636858-9714474 400022 265197 10.999 3693.228 691.934 268395881.0 4692729 57.194
9_chr1-9714475-10792092 400022 259289 8.222 2717.942 429.207 174601015.0 3578855 48.787
10_chr1-10792093-11869710 400022 265844 10.574 3217.996 624.108 260475200.0 4458886 58.417
11_chr1-11869711-12947328 400022 244916 8.772 1945.137 454.287 183113685.0 3831131 47.796
12_chr1-12947329-14024945 400022 183570 9.138 2190.964 520.094 212102783.0 3374238 62.859
13_chr1-14024946-15102563 400022 269163 12.797 3951.883 836.064 340535267.0 5132168 66.353
14_chr1-15102564-16180181 400022 259151 13.924 5075.882 775.43 349731174.0 4125936 84.764
15_chr1-16180182-17257799 400022 204951 9.674 2334.246 473.074 204203667.0 3522581 57.97
16_chr1-17257800-18335416 400022 271756 12.616 3622.505 740.616 307850236.0 4720404 65.217
17_chr1-18335417-19413034 400022 265611 12.638 4417.661 774.03 333412937.0 4391229 75.927
18_chr1-19413035-20490652 400022 259832 11.392 3370.823 686.603 291316772.0 4225641 68.94
19_chr1-20490653-21568270 400022 249508 10.622 3971.556 578.893 269612728.0 3570191 75.518
20_chr1-21568271-22645888 400022 261712 10.697 4038.582 675.465 269738164.0 4037094 66.815
