chrom partition_number start end
1 0 15916 1019663
1 1 1019664 2023412
1 2 2023413 3027161
1 3 3027162 4030910
1 4 4030911 5034659
1 5 5034660 6038407
1 6 6038408 7042156
1 7 7042157 8045905
1 8 8045906 9049654
1 9 9049655 10053403
1 10 10053404 11057151
1 11 11057152 12060900
1 12 12060901 13064649
1 13 13064650 14068398
1 14 14068399 15072147
1 15 15072148 16075895
1 16 16075896 17079644
1 17 17079645 18083393
1 18 18083394 19087142
1 19 19087143 20090891
1 20 20090892 21094639
1 21 21094640 22098388
1 22 22098389 23102137
1 23 23102138 24105886
1 24 24105887 25109635
1 25 25109636 26113383
1 26 26113384 27117132
1 27 27117133 28120881
1 28 28120882 29124630
1 29 29124631 30128379
1 30 30128380 31132127
1 31 31132128 32135876
1 32 32135877 33139625
1 33 33139626 34143374
1 34 34143375 35147123
1 35 35147124 36150871
1 36 36150872 37154620
1 37 37154621 38158369
1 38 38158370 39162118
1 39 39162119 40165867
1 40 40165868 41169615
1 41 41169616 42173364
1 42 42173365 43177113
1 43 43177114 44180862
1 44 44180863 45184611
1 45 45184612 46188359
1 46 46188360 47192108
1 47 47192109 48195857
1 48 48195858 49199606
1 49 49199607 50203355
1 50 50203356 51207103
1 51 51207104 52210852
1 52 52210853 53214601
1 53 53214602 54218350
1 54 54218351 55222099
1 55 55222100 56225847
1 56 56225848 57229596
1 57 57229597 58233345
1 58 58233346 59237094
1 59 59237095 60240843
1 60 60240844 61244591
1 61 61244592 62248340
1 62 62248341 63252089
1 63 63252090 64255838
1 64 64255839 65259587
1 65 65259588 66263335
1 66 66263336 67267084
1 67 67267085 68270833
1 68 68270834 69274582
1 69 69274583 70278331
1 70 70278332 71282079
1 71 71282080 72285828
1 72 72285829 73289577
1 73 73289578 74293326
1 74 74293327 75297075
1 75 75297076 76300823
1 76 76300824 77304572
1 77 77304573 78308321
1 78 78308322 79312070
1 79 79312071 80315819
1 80 80315820 81319567
1 81 81319568 82323316
1 82 82323317 83327065
1 83 83327066 84330814
1 84 84330815 85334563
1 85 85334564 86338312
1 86 86338313 87342060
1 87 87342061 88345809
1 88 88345810 89349558
1 89 89349559 90353307
1 90 90353308 91357056
1 91 91357057 92360804
1 92 92360805 93364553
1 93 93364554 94368302
1 94 94368303 95372051
1 95 95372052 96375800
1 96 96375801 97379548
1 97 97379549 98383297
1 98 98383298 99387046
1 99 99387047 100390795
1 100 100390796 101394544
1 101 101394545 102398292
1 102 102398293 103402041
1 103 103402042 104405790
1 104 104405791 105409539
1 105 105409540 106413288
1 106 106413289 107417036
1 107 107417037 108420785
1 108 108420786 109424534
1 109 109424535 110428283
1 110 110428284 111432032
1 111 111432033 112435780
1 112 112435781 113439529
1 113 113439530 114443278
1 114 114443279 115447027
1 115 115447028 116450776
1 116 116450777 117454524
1 117 117454525 118458273
1 118 118458274 119462022
1 119 119462023 120465771
1 120 120465772 121469520
1 121 121469521 122473268
1 122 122473269 123477017
1 123 123477018 124480766
1 124 124480767 125484515
1 125 125484516 126488264
1 126 126488265 127492012
1 127 127492013 128495761
1 128 128495762 129499510
1 129 129499511 130503259
1 130 130503260 131507008
1 131 131507009 132510756
1 132 132510757 133514505
1 133 133514506 134518254
1 134 134518255 135522003
1 135 135522004 136525752
1 136 136525753 137529500
1 137 137529501 138533249
1 138 138533250 139536998
1 139 139536999 140540747
1 140 140540748 141544496
1 141 141544497 142548244
1 142 142548245 143551993
1 143 143551994 144555742
1 144 144555743 145559491
1 145 145559492 146563240
1 146 146563241 147566988
1 147 147566989 148570737
1 148 148570738 149574486
1 149 149574487 150578235
1 150 150578236 151581984
1 151 151581985 152585732
1 152 152585733 153589481
1 153 153589482 154593230
1 154 154593231 155596979
1 155 155596980 156600728
1 156 156600729 157604476
1 157 157604477 158608225
1 158 158608226 159611974
1 159 159611975 160615723
1 160 160615724 161619472
1 161 161619473 162623220
1 162 162623221 163626969
1 163 163626970 164630718
1 164 164630719 165634467
1 165 165634468 166638216
1 166 166638217 167641965
1 167 167641966 168645713
1 168 168645714 169649462
1 169 169649463 170653211
1 170 170653212 171656960
1 171 171656961 172660709
1 172 172660710 173664457
1 173 173664458 174668206
1 174 174668207 175671955
1 175 175671956 176675704
1 176 176675705 177679453
1 177 177679454 178683201
1 178 178683202 179686950
1 179 179686951 180690699
1 180 180690700 181694448
1 181 181694449 182698197
1 182 182698198 183701945
1 183 183701946 184705694
1 184 184705695 185709443
1 185 185709444 186713192
1 186 186713193 187716941
1 187 187716942 188720689
1 188 188720690 189724438
1 189 189724439 190728187
1 190 190728188 191731936
1 191 191731937 192735685
1 192 192735686 193739433
1 193 193739434 194743182
1 194 194743183 195746931
1 195 195746932 196750680
1 196 196750681 197754429
1 197 197754430 198758177
1 198 198758178 199761926
1 199 199761927 200765675
1 200 200765676 201769424
1 201 201769425 202773173
1 202 202773174 203776921
1 203 203776922 204780670
1 204 204780671 205784419
1 205 205784420 206788168
1 206 206788169 207791917
1 207 207791918 208795665
1 208 208795666 209799414
1 209 209799415 210803163
1 210 210803164 211806912
1 211 211806913 212810661
1 212 212810662 213814409
1 213 213814410 214818158
1 214 214818159 215821907
1 215 215821908 216825656
1 216 216825657 217829405
1 217 217829406 218833153
1 218 218833154 219836902
1 219 219836903 220840651
1 220 220840652 221844400
1 221 221844401 222848149
1 222 222848150 223851897
1 223 223851898 224855646
1 224 224855647 225859395
1 225 225859396 226863144
1 226 226863145 227866893
1 227 227866894 228870641
1 228 228870642 229874390
1 229 229874391 230878139
1 230 230878140 231881888
1 231 231881889 232885637
1 232 232885638 233889385
1 233 233889386 234893134
1 234 234893135 235896883
1 235 235896884 236900632
1 236 236900633 237904381
1 237 237904382 238908129
1 238 238908130 239911878
1 239 239911879 240915627
1 240 240915628 241919376
1 241 241919377 242923125
1 242 242923126 243926873
1 243 243926874 244930622
1 244 244930623 245934371
1 245 245934372 246938120
1 246 246938121 247941869
1 247 247941870 248945618
